ip,anonymityLevel,asn,country,latency,org,port,protocols,speed,upTime,upTimeSuccessCount,upTimeTryCount,updated_at,isp,responseTime
"200.24.255.93","elite","AS52381","AR","297","Sociedad Cooperativa Popular Limitada de Comodoro","49271","socks4","1","73","1571","2151","2025-01-21T17:33:16.596Z","Sociedad Cooperativa Popular Limitada de Comodoro","489"
"8.130.39.117","elite","AS37963","CN","157","Alibaba.com LLC","8888","socks4","1","84","1643","1960","2025-01-21T17:33:16.304Z","Hangzhou Alibaba Advertising Co., Ltd.","298"
"94.28.14.70","elite","AS24588","RU","66","N/A","4145","socks4","1","98","8777","8911","2025-01-21T17:33:16.199Z","Enforta-KUR","2905"
"34.116.7.175","elite","AS139070","US","2","Google Cloud","8080","socks4","1","100","1983","1983","2025-01-21T17:33:16.502Z","Google Asia Pacific Pte. Ltd.","3603"
"43.157.50.206","elite","AS132203","DE","12","Tencent Cloud Computing","443","socks4","1","48","4240","8843","2025-01-21T17:33:16.590Z","Shenzhen Tencent Computer Systems Company Limited","5088"
"178.132.4.53","elite","AS49981","NL","17","Worldstream","443","socks4","1","100","8920","8943","2025-01-21T17:33:16.306Z","WorldStream B.V.","1390"
"155.133.83.169","elite","AS136787","DE","14","Packethub S.A","58351","socks4","1","58","5176","8880","2025-01-21T17:33:16.206Z","PacketHub S.A.","335"
"192.111.139.162","elite","AS46562","US","133","Total Server Solutions L.L.C.","4145","socks4","1","99","691","699","2025-01-21T17:33:16.407Z","Performive LLC","345"
"199.60.103.126","elite","AS209242","US","11","HubSpot, Inc.","80","socks4","2","100","8923","8925","2025-01-21T17:33:16.509Z","Cloudflare London, LLC","1886"
"84.239.14.153","elite","AS44679","RO","38","BinBox Global Services - DataCenter","9002","socks4","2","100","1198","1201","2025-01-21T17:33:16.204Z","INVITE Systems SRL","3002"
"57.128.140.202","elite","AS16276","GB","10","OVH Ltd","24728","socks4","1","97","2125","2183","2025-01-21T17:33:16.409Z","OVH SAS","783"
"109.224.55.18","elite","AS203214","IQ","92","EarthLink Ltd. Communications&","5678","socks4","1","94","8258","8830","2025-01-21T17:33:08.095Z","Hulum Almustakbal Company for Communication Engineering and Services Ltd","3798"
"212.200.161.241","elite","AS8400","RS","39","Admira DOO Kragujevac","5678","socks5","1","100","8823","8855","2025-01-21T17:33:08.101Z","TELEKOM SRBIJA a.d.","4404"
"51.158.113.18","elite","AS12876","FR","82","ONLINE","16379","socks5","1","32","683","2131","2025-01-21T17:33:08.003Z","SCALEWAY","3799"
"105.27.199.218","elite","AS37100","ZA","148","Seacom Assignments","5678","socks4","1","97","8600","8875","2025-01-21T17:33:08.093Z","SEACOM Limited","4112"
"103.95.197.233","elite","AS135918","VN","214","DVS","9050","socks5","1","63","5614","8857","2025-01-21T17:33:08.097Z","Viet Digital Technology Liability Company","346"
"162.241.158.204","elite","AS19871","US","95","Unified Layer","62715","socks4","2","100","547","547","2025-01-21T17:33:08.001Z","Network Solutions, LLC","1496"
"77.43.254.87","elite","AS15640","RU","94","CCL Home10","7788","socks5","2","17","344","1982","2025-01-21T17:33:08.109Z","MTS PJSC","1086"
"178.62.227.85","elite","AS14061","NL","12","Digital Ocean","49650","socks4","1","87","7698","8817","2025-01-21T17:33:08.103Z","DigitalOcean, LLC","4090"
"109.234.37.16","elite","AS216071","NL","14","Servers Tech Fzco","45599","socks4","1","100","2180","2182","2025-01-21T17:33:08.105Z","Servers Tech Fzco","4896"
"104.255.170.63","elite","AS397373","US","145","N/A","60899","socks5","2","100","8959","8976","2025-01-21T17:33:08.107Z","H4Y Technologies LLC","4311"
"186.5.8.182","elite","AS27947","EC","161","Clientes Pelileo","1994","socks4","1","100","1251","1252","2025-01-21T17:33:08.006Z","Telconet S.A","3496"
"159.223.173.237","elite","AS14061","US","96","DigitalOcean, LLC","12057","socks5","1","92","8103","8822","2025-01-21T17:33:07.698Z","DigitalOcean, LLC","4102"
"108.175.24.1","elite","AS33258","US","184","Computer Solutions","13135","socks4","2","100","2167","2173","2025-01-21T17:33:07.700Z","Computer Solutions","4509"
"31.163.192.152","elite","AS12389","RU","115","Dynamic distribution IPs for broadband services","4153","socks4","1","94","2059","2197","2025-01-21T17:33:07.501Z","OJSC Rostelecom","4812"
"115.73.220.114","elite","AS7552","VN","288","N/A","5678","socks4","2","89","7893","8870","2025-01-21T17:33:07.692Z","VIETELmetro","2997"
"152.32.78.24","elite","AS17639","PH","373","Convergeict","4145","socks4","2","96","8549","8914","2025-01-21T17:33:07.999Z","ComClark Network & Technology Corp","509"
"77.242.22.227","elite","AS35047","AL","52","N/A","8000","socks4","2","100","1544","1550","2025-01-21T17:33:07.602Z","Abissnet ISP","563"
"101.108.0.189","elite","AS23969","TH","282","TOT Public Company Limited","4145","socks4","81","54","4762","8887","2025-01-21T17:32:52.200Z","TOT Public Company Limited","430"
